,Loss_D,Loss_G,Accu_D
0,1.2860995531082153,0.4879738688468933,0.6220323443412781
1,0.980302631855011,1.0943048000335693,0.7258079051971436
2,0.8949131369590759,1.2770633697509766,0.6624142527580261
3,0.500740647315979,2.1741740703582764,0.8532816767692566
4,0.32812121510505676,1.716506004333496,0.8959701657295227
5,0.2767321765422821,2.65994930267334,0.8733805418014526
6,0.23543255031108856,1.6980222463607788,0.9024664759635925
7,0.1689627766609192,1.5503830909729004,0.9158604741096497
8,0.19064287841320038,2.248687505722046,0.9435515403747559
9,0.16416676342487335,2.2682015895843506,0.9427937865257263
10,0.1911679059267044,2.877315044403076,0.975205659866333
11,0.15666413307189941,3.2300546169281006,0.9473286867141724
12,0.11763326823711395,3.4287190437316895,0.9510762095451355
13,0.11340893059968948,3.413163661956787,0.9279239773750305
14,0.1453481912612915,2.085536241531372,0.9258934259414673
15,0.10361681878566742,1.8985497951507568,0.966167688369751
16,0.14068561792373657,3.0797486305236816,0.9858853220939636
17,0.11094500869512558,4.13960599899292,0.9709457159042358
18,0.0941576287150383,4.102379322052002,0.9570482969284058
19,0.14687231183052063,2.9064736366271973,0.8969240188598633
20,0.08421990275382996,2.6149606704711914,0.9733625054359436
